id;group;item;idname;dataset;subitem;update;formatdate;by
1;Beneficios ao Cidadao;Auxilio Emergencial;auxilio-emergencial;auxilio-emergencial;;month;yyyymm;month
2;Beneficios ao Cidadao;Bolsa familia pagamentos;bolsa-familia-pagamentos;bolsa-familia-pagamentos;;month;yyyymm;month
3;Beneficios ao Cidadao;Bolsa familia saques;bolsa-familia-saques;bolsa-familia-saques;;month;yyyymm;month
4;Beneficios ao Cidadao;Benefício de Prestação Continuada;bpc;bpc;;month;yyyymm;month
5;Beneficios ao Cidadao;Garantia safra;garantia-safra;garantia-safra;;month;yyyymm;month
6;Beneficios ao Cidadao;Erradicacao do trabalho infantil PETI;peti;peti;;month;yyyymm;month
7;Beneficios ao Cidadao;Seguro defeso pescador artesanal;seguro-defeso;seguro-defeso;;month;yyyymm;month
8;Cartao Pagamento;Cartao pagamento compras centralizadas;cpcc;cpcc;;month;yyyymm;month
9;Cartao Pagamento;Cartao pagamento da defesa civil CPDC;cpdc;cpdc;;month;yyyymm;month
10;Cartao Pagamento;Cartao pagamento governo federal CPGF;cpgf;cpgf;;month;yyyymm;month
11;CNPJ;Favorecidos PJ;favorecidos-pj;favorecidos-pj;;month;yyyymm;month
12;Convênios e Instrumentos Congeneres;Convenios;convenios;convenios;;week;yyyymmdd;day
13;Despesas Publicas;Documentos empenho, liquidacao e pagamento;despesas;despesas;;day;yyyymmdd;day
14;Despesas Publicas;Execucao da despesa;despesas-execucao;despesas-execucao;;day;yyyymm;month
15;Despesas Publicas;Recursos transferidos;transferencias;transferencias;;day;yyyymm;month
16;Despesas Publicas;Recebimento de recursos por favorecido;despesas-favorecidos;despesas-favorecidos;;day;yyyymm;month
17;Emendas Parlamentares;Emendas parlamentares;emendas-parlamentares;emendas-parlamentares;;day;UNICO;UNICO
18;Imoveis funcionais;Imoveis funcionais;imoveis-funcionais-md;imoveis-funcionais;MD_ImoveisFuncionais;on_demand;yyyymmdd;day
19;Imoveis funcionais;Imoveis funcionais;imoveis-funcionais-mre;imoveis-funcionais;MRE_ImoveisFuncionais;on_demand;yyyymmdd;day
20;Imoveis funcionais;Imoveis funcionais;imoveis-funcionais-pr;imoveis-funcionais;PR_ImoveisFuncionais;on_demand;yyyymmdd;day
21;Imoveis funcionais;Imoveis funcionais;imoveis-funcionais-spu;imoveis-funcionais;SPU_ImoveisFuncionais;on_demand;yyyymmdd;day
22;Licitacoes e Contratos;Contratacoes;compras;compras;;month;yyyymm;month
23;Licitacoes e Contratos;Licitacoes;licitacoes;licitacoes;;month;yyyymm;month
24;Orcamento Publico;Orcamento da despesa;orcamento-despesa;orcamento-despesa;;day;yyyy;year
25;Receitas Publicas;Execucao da receita;receitas;receitas;;day;yyyy;year
26;Sancoes;Empresas inidoneas e suspensas;ceis;ceis;;four_hours;yyyymmdd;day
27;Sancoes;Entidades sem fins lucrativos impedidas;cepim;cepim;;day;yyyymmdd;day
28;Sancoes;Empresas punidas;cnep;cnep;;four_hours;yyyymmdd;day
29;Sancoes;Acordos de Leniencia;acordos-leniencia;acordos-leniencia;;four_hours;yyyymmdd;day
30;Servidores;Servidores militares ate 2019;servidores-militares;servidores;Militares;day;yyyymm;month
31;Servidores;Servidores civis ate 2019;servidores-civis;servidores;Servidores;day;yyyymm;month
32;Servidores;Cadastro de expulsoes da administracao federal CEAF;ceaf;ceaf;;week;yyyymmdd;day
33;Servidores;Pessoas expostas politicamente;pep;pep;;on_demand;yyyymm;month
34;Viagens a servico;Viagens a servico;viagens;viagens;;day;yyyy;year
